Modelo,Acurácia (Treino),Acurácia (Teste),AUC-ROC (Treino),AUC-ROC (Teste),AUC-PR (Treino),AUC-PR (Teste),KS (Treino),KS (Teste),F1 (Treino),F1 (Teste),Lift@10% (Treino),Lift@10% (Teste)
XGBoost,0.8041877311104276,0.8002225791357354,0.8845156304466781,0.8783273039339795,0.7776066734418577,0.7685241826412372,0.6068654431390463,0.5957222442654037,0.7006123987967482,0.6940255866430363,3.1367095067010604,3.105352200804466
Random Forest,0.7583958548155656,0.7587798616468326,0.8438724889629964,0.8434015209834598,0.7101376052933599,0.7093737401174105,0.5282965461297793,0.5295092704956985,0.6479061804553147,0.6481103967382783,2.8830699068356305,2.878363919330057
Árvore de Decisão,0.7229926844107082,0.7238785679056062,0.8217118867868349,0.8213563568723179,0.6574244261078958,0.6567618187778925,0.4817405430746652,0.48274810411190305,0.6177177317563461,0.6181525640857479,2.7895022957477216,2.7903747175819387
AdaBoost,0.7594649416744691,0.7593868956533836,0.7724796631627615,0.7737361867013159,0.59585318763193,0.5959419003026356,0.4033764299556281,0.4052983707559317,0.37291847707057213,0.3716852151514151,2.5570447627066373,2.559160652589733
