Métrica,Baseline (Treino),Baseline (Teste),Ajustado (Treino),Ajustado (Teste)
Acurácia,0.8041877311104276,0.8002225791357354,0.8314067638374933,0.8161919997976553
AUC-ROC,0.8845156304466781,0.8783273039339795,0.9132397088251136,0.8927442504922932
AUC-PR,0.7776066734418577,0.7685241826412372,0.8251072736159227,0.7943649756879465
KS,0.6068654431390463,0.5957222442654037,0.6652497322419489,0.6258503035474067
F1,0.7006123987967482,0.6940255866430363,0.7389165869298819,0.714548748692719
Lift@10%,3.1367095067010604,3.105352200804466,3.2683395767869463,3.1949137037565616
